time_s,occupancy_pct,metering_rate_veh_h,main2_speed_ms,main2_veh_n
60.0,0.898910457621748,450.0,34.82886162099925,10
120.0,2.5957720866849123,450.0,29.760547678284887,25
180.0,1.8393680320749322,450.0,30.141766951581417,20
240.0,2.2276148799309916,450.0,31.74065895389024,22
300.0,2.452411279839216,450.0,30.916545449824774,20
360.0,2.98615746432759,450.0,31.835369836370216,20
420.0,2.5115707828519853,450.0,30.874736738263948,20
480.0,3.544873028614859,436.3781742846285,31.838053267953573,27
540.0,2.9422139480237774,437.8228255840341,32.04772294899235,25
600.0,3.2306951497686973,432.0554468398167,30.123361601912272,28
660.0,3.0187615489117547,431.5864081170228,32.220409410794936,23
720.0,2.9892437839478703,431.85531351832606,29.888500650905872,29
780.0,3.5567758806442384,417.9359165022201,31.320821764015648,28
840.0,3.715022961404486,400.06034246710794,31.905507301422066,24
900.0,3.048303477212073,398.8527555368061,31.565162088809135,26
960.0,2.779426565472439,404.36709139999516,30.200652061710073,30
1020.0,2.896085046256663,406.9649652435786,30.3777135916757,25
1080.0,3.35711524423175,398.03708413778486,30.567056046385595,31
1140.0,3.3607124594436755,389.019272651693,30.46258389369547,30
1200.0,2.811283871614023,393.7371758613424,32.05824232299531,24
1260.0,3.3722207724777795,384.4316565493979,31.796734177492297,26
1320.0,2.7391653357293912,390.9525231561631,32.19734227127656,26
1380.0,3.4014986526373527,380.9150568402293,30.60692005295233,23
1440.0,3.698196628503562,363.4601411276402,30.204244975014305,26
1500.0,2.928074027256381,365.25829044623066,29.766406097912913,25
1560.0,3.365274094304785,356.12643808861105,31.64978185365741,25
1620.0,2.7234541444211877,363.0400844780814,28.988247059997896,28
1680.0,2.5007638387849815,375.52098850845687,32.34329969679428,18
1740.0,2.1765613822416676,396.10695395241515,30.3803061219765,21
1800.0,2.7528029868301473,402.28687928166147,31.274269343284676,21
1860.0,2.5748311390352305,412.91610080578073,30.48734950069704,23
1920.0,2.6144290307197102,422.555375037788,33.43391353962535,18
1980.0,2.2951215674070604,440.17733585261146,29.70277488414484,21
2000.0,0.8879125232421833,450.0,30.8284824613676,19
